"Method","Cost","Data_Size","log_cost"
"Method-1",826508836.8,839.706561353571,20.5327211670012
"Method-1",806242096.8,759.486257928107,20.5078946236076
"Method-1",840040783.2,847.386176877477,20.5489610000516
"Method-1",938880115.2,901.328270785219,20.6601983561782
"Method-1",841724481.6,884.072577357271,20.5509632996564
"Method-1",781797290.4,782.714123803664,20.4771060454691
"Method-1",846775576.8,800.728615949306,20.5569462550518
"Method-1",881384932.8,867.012131330464,20.5970050156039
"Method-1",893357899.2,822.169151504585,20.6104978415275
"Method-1",818464500,791.38360732929,20.5229405818129
"Method-1",996562375.2,1004.95478831671,20.7198222899382
"Method-1",947548044,873.380594889381,20.6693881997039
"Method-1",858561465.6,795.272912514242,20.5707688322444
"Method-1",903896604,882.38357150003,20.6222255357088
"Method-1",957026642.4,911.369115334444,20.6793417885281
"Method-1",856254175.2,815.588691269072,20.5680778236748
"Method-1",891237686.4,889.961166180447,20.6081217134964
"Method-1",909633650.4,929.799733328499,20.6285524944393
"Method-1",929463876,905.872490970778,20.6501185004652
"Method-1",996936530.4,933.364839036052,20.7201976653179
"Method-1",989578144.8,973.619288333689,20.7127892939159
"Method-1",987333213.6,963.068271677917,20.7105181428545
"Method-1",1004793789.6,1001.55427616361,20.7280481729266
"Method-1",1116479116.8,1097.91656680901,20.8334459249048
"Method-1",1043830648.8,978.539330799594,20.7661630994557
"Method-1",1105379179.2,1080.88989520477,20.8234542616514
"Method-1",1046512094.4,1033.86801882407,20.7687286567831
"Method-1",1036098108,977.939022614476,20.7587276751417
"Method-1",1147783435.2,1149.16086821531,20.8610984717519
"Method-1",1101201112.8,1022.10079306126,20.8196673417662
"Method-1",1122777396,1058.74226396432,20.839071270436
"Method-1",1082742789.6,1084.82084274121,20.8027632786972
"Method-1",1123837502.4,1053.63587266052,20.840015007148
"Method-1",1012339252.8,963.925580501633,20.7355295816742
"Method-1",1140237972,1097.82895984867,20.8545028249365
"Method-1",1122839755.2,1107.19727513779,20.8391268090215
"Method-1",1031732964,1013.83175509212,20.7545057147088
"Method-1",1100951676,1063.79932408623,20.8194408027155
"Method-1",1139177865.6,1097.40621411712,20.8535726686579
"Method-1",1229536346.4,1173.57405647895,20.9299029811193
"Method-1",1225046484,1148.58910982534,20.9262446263456
"Method-1",1142794699.2,1087.95633956654,20.8567425898782
"Method-1",1126207152,1101.70027206343,20.842121321324
"Method-1",1076070355.2,1076.83484331567,20.796581682422
"Method-1",1255851928.8,1152.90563976916,20.9510800069599
"Method-1",1262524363.2,1198.02957781713,20.9563790165118
"Method-1",1198419105.6,1171.18344966142,20.9042691131903
"Method-1",1360365948,1348.54474481061,21.0310195799108
"Method-1",1272127680,1196.00881715991,20.9639566741854
"Method-1",1250738474.4,1239.89707695313,20.9469999933391
"Method-1",1257161472,1202.86988283683,20.9521222165384
"Method-1",1308483093.6,1248.54243229291,20.9921343594077
"Method-1",1387367481.6,1351.33318050217,21.0506738902669
"Method-1",1217812816.8,1174.97673600961,20.9203223136358
"Method-1",1306737036,1245.50992753587,20.9907990547122
"Method-1",1242507060,1246.46082987283,20.9403969980115
"Method-1",1355876085.6,1301.08978348092,21.0277136399881
"Method-1",1392543295.2,1337.87643720676,21.0543976209879
"Method-1",1485770299.2,1467.09266061749,21.1191991947124
"Method-1",1389986568,1291.08763477327,21.052559920733
"Method-1",1300999989.6,1287.12734172541,20.9863990284829
"Method-1",1369283313.6,1304.26309497379,21.0375533111477
"Method-1",1431268358.4,1358.5190894153,21.0818268520143
"Method-1",1316277993.6,1274.25304147945,20.9980738888786
"Method-1",1301124708,1265.74586488854,20.9864948873787
"Method-1",1462572676.8,1372.7992956353,21.1034628293741
"Method-1",1355439571.2,1274.69087840782,21.0273916454592
"Method-1",1335235190.4,1320.95794709426,21.0123732858663
"Method-1",1431829591.2,1346.54767064771,21.0822188978451
"Method-1",1552681720.8,1486.92947857224,21.1632494153568
"Method-1",1461387852,1376.34581692535,21.1026524047099
"Method-1",1522686945.6,1467.90464953562,21.1437423385819
"Method-1",1490135443.2,1447.09721373007,21.122132854249
"Method-1",1502357846.4,1430.67419479335,21.1303016085167
"Method-1",1420979090.4,1331.39119522025,21.0746119712452
"Method-1",1519132471.2,1427.92413274872,21.1414052662374
"Method-1",1448604216,1394.96649984573,21.0938663201175
"Method-1",1433513289.6,1403.68379647773,21.0833941139807
"Method-1",1611299368.8,1573.86918363851,21.2003067518103
"Method-1",1570890607.2,1518.80014410665,21.1749085612047
"Method-1",1596769675.2,1556.03368971408,21.1912484723592
"Method-1",1491819141.6,1438.01517473038,21.1232621126136
"Method-1",1461325492.8,1426.78694912965,21.1026097325812
"Method-1",1557358660.8,1541.46372199991,21.1662570570281
"Method-1",1472986663.2,1436.82437700727,21.1105579202108
"Method-1",1699412918.4,1574.94547157051,21.2535486862466
"Method-1",1521127965.6,1545.40666102112,21.142717979229
"Method-1",1699849432.8,1661.05010799768,21.2538055151449
"Method-1",1606497710.4,1555.38158352436,21.1973223113091
"Method-1",1611174650.4,1539.29914611668,21.2002293464384
"Method-1",1573322616,1533.29664234314,21.1764555359882
"Method-1",1745309289.6,1680.76345153978,21.2801976202188
"Method-1",1730405440.8,1637.39372100834,21.2716215768423
"Method-1",1706085352.8,1642.63551742685,21.257467315714
"Method-1",1631566108.8,1535.63407530766,21.2128061934342
"Method-1",1739634602.4,1670.4717094022,21.2769409294994
"Method-1",1676651810.4,1624.83554044958,21.2400646717543
"Method-1",1741630096.8,1682.12417339371,21.2780873488561
"Method-1",1698539889.6,1564.32546900217,21.253034830482
"Method-1",1719866736,1700.91723741316,21.2655126457003
"Method-1",1668669832.8,1590.2795575076,21.2352926386892
"Method-1",1768257475.2,1671.90125983414,21.293260421328
"Method-1",1671226560,1626.32524136564,21.236823660852
"Method-1",1772560260,1713.68264264392,21.2956908129718
"Method-1",1730031285.6,1717.58018217133,21.2714053294544
"Method-1",1710325778.4,1643.78938599116,21.2599497029998
"Method-1",1819204941.6,1800.14132949364,21.3216653973157
"Method-1",1693613512.8,1640.86603305459,21.2501302564966
"Method-1",1779419772,1691.2160311524,21.2995531773239
"Method-1",1792016330.4,1735.22336372379,21.3066072644041
"Method-1",1804363452,1707.28812111262,21.313473708361
"Method-1",1783161324,1718.09418945399,21.3016536507025
"Method-1",1899336513.6,1842.22756061533,21.3647704587647
"Method-1",1978906852.8,1902.31173855212,21.4058104346471
"Method-1",1790083195.2,1723.26786107193,21.3055279334844
"Method-1",1896842145.6,1788.03619370228,21.3634563117854
"Method-1",1875889454.4,1822.99983473106,21.3523487595682
"Method-1",1914240362.4,1817.99047826524,21.3725867032837
"Method-1",1883933791.2,1809.49248890633,21.3566278698079
"Method-1",1828247025.6,1732.1306021339,21.326623435203
"Method-1",1948662640.8,1843.66688771031,21.3904091490056
"Method-1",1944546933.6,1886.09232407247,21.3882948478592
"Method-1",1854687326.4,1785.58075183833,21.3409819616017
"Method-1",1942676157.6,1886.58452491497,21.3873323221175
"Method-1",1947228379.2,1837.16764549866,21.3896728544545
"Method-1",2012144306.4,1969.93315952006,21.4224668094748
"Method-1",1976100688.8,1899.52068290168,21.4043913908443
"Method-1",1986140520,1920.96027571896,21.4094591553534
"Method-1",2033034638.4,1898.40513682767,21.4327954095193
"Method-1",1917670118.4,1862.01275878008,21.3743768061231
"Method-1",2145405916.8,2093.78906932378,21.4865946100244
"Method-1",1935941364,1877.24582391844,21.383859538152
"Method-1",2068267586.4,1956.62778620268,21.4499771790324
"Method-1",1985704005.6,1926.37450395375,21.4092393509784
"Method-1",1844398058.4,1762.93649923419,21.3354188055962
"Method-1",1869154660.8,1797.22794127705,21.348752112558
"Method-1",2151205322.4,2042.76501761349,21.4892941370698
"Method-1",2138920560,2018.76072914096,21.4835671275071
"Method-1",2065586140.8,2026.26893826637,21.4486798685066
"Method-1",2111420152.8,1972.10358044952,21.4706266162313
"Method-1",1920912796.8,1887.79414750859,21.3760663250122
"Method-1",2114351035.2,1976.57337405617,21.472013763211
"Method-1",2166670404,2043.89588711605,21.4964574501015
"Method-1",2032785201.6,1983.91811643711,21.4326727101326
"Method-1",2032598124,2004.24648972946,21.4325806757117
"Method-1",2246365461.6,2142.50550534652,21.5325793966776
"Method-1",2120212800,2116.34595638558,21.4747822979514
"Method-1",2096329226.4,1996.44471341581,21.4634536647346
"Method-1",2302862896.8,2195.11918721701,21.5574189235769
"Method-1",2152826661.6,2050.92978070554,21.4900475419157
"Method-1",2340777290.4,2280.5066721566,21.5737488865426
"Method-1",2093335984.8,2018.06581589453,21.4620247953818
"Method-1",2282097283.2,2194.29014410405,21.5483607181525
"Method-1",2280912458.4,2128.0111700941,21.5478414009063
"Method-1",2351752509.6,2257.05189298064,21.578426635936
"Method-1",2243496938.4,2126.91595189441,21.5313016187259
"Method-1",2315085300,2214.13286636446,21.5627123704581
"Method-1",2270061957.6,2175.94311269416,21.5430729621642
"Method-1",2147214333.6,2063.75521360833,21.4874371802037
"Method-1",2330051508,2259.69060923939,21.5691562107174
"Method-1",2377070344.8,2276.07108755879,21.5891346188285
"Method-1",2324439180,2182.25217242658,21.566744633986
"Method-1",2282346720,2158.06108165378,21.5484700137425
"Method-1",2363600757.6,2279.74778742472,21.5834520379637
"Method-1",2133620028,2036.78118008364,21.4810859177397
"Method-1",2258088991.2,2158.21600773011,21.5377847134119
"Method-1",2281473691.2,2192.47561145003,21.5480874269043
"Method-1",2137548657.6,2029.56759196286,21.4829255223056
"Method-1",2546063776.8,2482.54320886951,21.6578143865715
"Method-1",2204023564.8,2193.65107793881,21.513550420013
"Method-1",2303112333.6,2244.21478863384,21.5575272336688
"Method-1",2464373224.8,2325.85758315968,21.625203342251
"Method-1",2329802071.2,2198.58644586784,21.5690491529329
"Method-1",2265883891.2,2240.363023909,21.5412307586984
"Method-1",2384989963.2,2333.83000758504,21.592460752976
"Method-1",2547498038.4,2372.39290228389,21.658377553051
"Method-1",2350692403.2,2269.58366811029,21.5779757613643
"Method-1",2533591936.8,2423.39617416783,21.6529038706765
"Method-1",2455268781.6,2345.53801222657,21.6215020755402
"Method-1",2402824694.4,2405.60063592658,21.5999108382306
"Method-1",2523053232,2460.40747712255,21.6487356050748
"Method-1",2467117029.6,2283.06965238915,21.6263161113904
"Method-1",2846946916.8,2695.86903380637,21.7695129997576
"Method-1",2641348634.4,2565.2408267202,21.6945554700307
"Method-1",2534839120.8,2393.3329189625,21.6533960087804
"Method-1",2586784334.4,2486.21845954324,21.6736813715419
"Method-1",2570758020,2401.49470863806,21.6674666417809
"Method-1",2633366656.8,2577.85644608964,21.6915289621522
"Method-1",2529226792.8,2415.00183579274,21.6511794774818
"Method-1",2590775323.2,2441.0712446962,21.6752230204477
"Method-1",2580797851.2,2452.64286996776,21.6713644327248
"Method-1",2367092872.8,2247.5542524292,21.5849284032104
"Method-1",2585848946.4,2505.18330289649,21.6733197035251
"Method-1",2701026388.8,2613.13155651313,21.7168976817203
"Method-1",2682942220.8,2506.65886325613,21.7101798728617
"Method-1",2516193720,2392.54837552436,21.6460131680511
"Method-1",2714308898.4,2607.49962402026,21.7218032085368
"Method-1",2516505516,2464.87953536875,21.6461370761115
"Method-1",2572379359.2,2486.24354998151,21.6680971282463
"Method-1",2554731705.6,2409.13826053881,21.6612130474954
"Method-1",2678764154.4,2546.39406747967,21.7086213886952
"Method-1",2848443537.6,2685.16240498641,21.7700385548873
"Method-1",2651824980,2579.55193535316,21.6985139116171
"Method-1",2810217348,2662.02773670207,21.7565276653436
"Method-1",2696723604,2649.60533200361,21.7153033930937
"Method-1",2981892225.6,2829.48818238582,21.8158239109859
"Method-1",2842082899.2,2709.57189898855,21.7678030355133
"Method-1",2732455425.6,2545.02252290093,21.7284664652012
"Method-1",2751100826.4,2648.22633542062,21.7352669690351
"Method-1",2788453987.2,2609.78978447292,21.7487531527433
"Method-1",2717738654.4,2708.12416560312,21.7230659944099
"Method-1",2805602767.2,2688.1032718204,21.7548842431028
"Method-1",2648769379.2,2588.40144041469,21.6973609838768
"Method-1",2702897164.8,2666.99393437009,21.7175900586779
"Method-1",2917288094.4,2786.82605816366,21.7939202868907
"Method-1",2792569694.4,2656.24702903142,21.7502280463043
"Method-1",2878064157.6,2787.34322951326,21.7803837375884
"Method-1",2923212218.4,2849.91655409434,21.7959489233822
"Method-1",2819945383.2,2723.29107411058,21.7599833540493
"Method-1",2875320352.8,2748.36251171697,21.7794299320491
"Method-1",2815206084,2679.9093056587,21.7583013050946
"Method-1",3053605305.6,2915.7890756233,21.839588796884
"Method-1",2797121916,2673.35941598057,21.7518568383464
"Method-1",3043814911.2,2901.62350884564,21.8363774706294
"Method-1",2897520228,2884.47697901639,21.7871211143445
"Method-1",2836844726.4,2710.75281019431,21.7659582596574
"Method-1",2875569789.6,2739.50523004886,21.7795166792461
"Method-1",3039886281.6,2918.78053743848,21.8350859442964
"Method-1",2910116786.4,2798.46629593379,21.791459050108
"Method-1",3036893040,2917.13680566506,21.8341008034237
"Method-1",2881680991.2,2758.13726766046,21.7816396383208
"Method-1",3004778052,2900.82844297532,21.8234695426384
"Method-1",3199463474.4,3042.88750143034,21.8862489684449
"Method-1",3237689664,3121.00758029834,21.898125845731
"Method-1",2893716316.8,2807.09795737358,21.7858074357484
"Method-1",3030594760.8,2918.58331973447,21.8320247278983
"Method-1",2897021354.4,2836.19229212602,21.7869489269181
"Method-1",2933626204.8,2860.08244343918,21.799505107324
"Method-1",2987379835.2,2886.03231584828,21.8176625308679
"Method-1",3206821860,3048.46647752431,21.8885462088742
"Method-1",3102931432.8,2983.85226850452,21.8556131251012
"Method-1",3207507811.2,3061.02830436428,21.8887600897434
"Method-1",3040011000,2888.95696065075,21.835126970779
"Method-1",3037828428,2912.43838781721,21.8344087642125
"Method-1",2972725423.2,2861.13251333347,21.8127450198859
"Method-1",3135108780,3001.51466213094,21.8659297089939
"Method-1",3414976869.6,3314.06172373278,21.9514365567691
"Method-1",3130681276.8,2994.84003801865,21.8645164781334
"Method-1",3103430306.4,2982.58629246504,21.8557738871134
"Method-1",3180880432.8,3084.98539645591,21.8804238610787
"Method-1",3163357497.6,3088.27070669441,21.8748997997329
"Method-1",3156747422.4,3100.5288509374,21.8728080377467
"Method-1",3077551238.4,2954.75331870241,21.8474000652425
"Method-1",3180443918.4,3015.2375723839,21.8802866209769
"Method-1",3152382278.4,3100.74942385866,21.8714242828063
"Method-1",3178136628,3070.8728619299,21.8795608959556
"Method-1",3134235751.2,3005.95491628064,21.8656512017907
"Method-1",3341580091.2,3187.31201120504,21.929709613265
"Method-1",3289697236.8,3153.95424255274,21.9140613722004
"Method-1",3243676147.2,3087.30566050144,21.8999731368967
"Method-1",3219605496,3160.30871502257,21.8925246722267
"Method-1",3302231436,3158.85494431143,21.9178642696308
"Method-1",3164230526.4,3047.76397602768,21.8751757433633
"Method-1",3292628119.2,3112.23893886049,21.914951903262
"Method-1",3277661911.2,3155.46722118836,21.9103961732057
"Method-1",3202144920,3069.26206831236,21.8870867097098
"Method-1",3230081841.6,3117.98657844052,21.8957733118166
"Method-1",3329295328.8,3261.37082857558,21.9260265055726
"Method-1",3410549366.4,3308.13078273581,21.950139219782
"Method-1",3302730309.6,3252.93155969147,21.9180153298853
"Method-1",3325429058.4,3196.04006707905,21.9248645428496
"Method-1",3370826556,3255.79859992005,21.9384238200799
"Method-1",3317072925.6,3079.18561955097,21.9223485820782
"Method-1",3313580810.4,3265.25330531036,21.9212952574251
"Method-1",3510074649.6,3424.76869564678,21.9789031418903
"Method-1",3419154936,3396.84700259113,21.9526592627511
"Method-1",3367646236.8,3228.38295568337,21.9374798912302
"Method-1",3512194862.4,3391.13669152055,21.9795069959181
"Method-1",3395021925.6,3267.94438417651,21.9455760561395
"Method-1",3466111413.6,3354.22011062323,21.9662991724433
"Method-1",3133612159.2,2969.18078288054,21.8654522205739
"Method-1",3502716264,3409.83151890353,21.9768045798795
"Method-1",3602989857.6,3518.66131470035,22.0050298537209
"Method-1",3759137294.4,3628.67639246184,22.0474553250434
"Method-1",3334096987.2,3260.51260827249,21.9274677111938
"Method-1",3606793768.8,3454.91926990074,22.0060850619629
"Method-1",3494173053.6,3416.55432367018,21.974362576224
"Method-1",3453203059.2,3300.14377070568,21.9625680602282
"Method-1",3529281283.2,3381.38719778113,21.9843600846689
"Method-1",3511010037.6,3382.79274432855,21.9791695930292
"Method-1",3514252716,3363.91355981255,21.9800927410292
"Method-1",3283461316.8,3234.4369441131,21.9121639824386
"Method-1",3650133412.8,3495.31266742134,22.0180295553249
"Method-1",3658427186.4,3582.71337317634,22.0202991615073
"Method-1",3566010852,3408.47104072138,21.9947133995684
"Method-1",3624379063.2,3475.92278533774,22.0109488176704
"Method-1",3437613259.2,3304.34944318085,21.9580432475272
"Method-1",3633670584,3503.30198246013,22.0135091544902
"Method-1",3557218204.8,3414.00294389871,21.9922446732097
"Method-1",3546367704,3504.76819653789,21.9891897346539
"Method-1",3776847307.2,3537.19692536605,22.052155452854
"Method-1",3561396271.2,3476.75570877838,21.993418515927
"Method-1",3580478186.4,3376.09440764838,21.9987622000592
"Method-1",3648699151.2,3554.85800000847,22.0176365440848
"Method-1",3576923712,3461.67313900323,21.9977689696266
"Method-1",3721035823.2,3603.88086390208,22.037267913569
"Method-1",3588210727.2,3437.08557503146,22.000919510522
"Method-1",3679941110.4,3572.70788961793,22.0261625863905
"Method-1",3704510635.2,3568.70978150673,22.0328170047036
"Method-1",3757952469.6,3632.15148669226,22.0471400900663
"Method-1",3762629409.6,3634.05112161053,22.048383861008
"Method-1",3762442332,3580.91238063693,22.0483341398608
"Method-1",3788321400,3638.52326754787,22.0551888555558
"Method-1",3600994363.2,3445.51072289729,22.004475856269
"Method-1",3941413236,3724.11147912154,22.0948051852827
"Method-1",3828293647.2,3786.67876907665,22.0656850179399
"Method-1",3608602185.6,3410.63337360861,22.0065863281025
"Method-1",3704760072,3574.09973311058,22.0328843357028
"Method-1",3622009413.6,3544.14006635103,22.0102947954103
"Method-1",3743422776,3588.79666078591,22.0432662105989
"Method-1",3735814953.6,3502.73114430136,22.0412318254653
"Method-1",3707940391.2,3566.69120119429,22.0337424087926
"Method-1",3870386107.2,3757.82878117591,22.0766201083138
"Method-1",3689294990.4,3564.30033252678,22.0287012172325
"Method-1",3730389703.2,3557.95096175783,22.0397785432144
"Method-1",3991737110.4,3786.40817732569,22.1074923391189
"Method-1",3681437731.2,3509.0425728614,22.0265692006547
"Method-1",3770736105.6,3601.58531191215,22.0505360728217
"Method-1",3753899121.6,3760.23862169305,22.0460609025067
"Method-1",4034640240,3909.76489480421,22.118182974842
"Method-1",3583284350.4,3433.52738964193,21.9995456331027
"Method-1",3932807666.4,3806.24663772796,22.0926194266832
