"Method_1_Cost","Method_2_Cost","Method_3_Cost"
4951195761.6,118077658.3842,997540.210870596
4801783118.4,115597851.56729,1017409.72510193
4691532052.8,111983711.966993,944068.41758169
4668521508,113771279.576107,981902.157011987
4734248104.8,113219409.901008,1022465.79332684
4849612624.8,115560523.904775,997351.461689243
4721277391.2,113730740.505466,978409.4199271
4778897292,115517826.743567,987222.838833745
4696146633.6,113626222.138286,975918.387523761
4582154016,110073514.050583,920987.739137045
4602794911.2,112078938.157884,965473.836743007
4558519879.2,109258077.681786,896842.010387884
4542867720,108962422.618339,932862.419445311
4546609272,109990442.155139,934646.221351735
4642954236,111554116.730803,984439.873632525
4700823573.6,111833805.091769,944216.192210703
4551909804,110732137.398292,980378.95063686
4637030112,111410300.363746,939149.420445272
4591383177.6,108371352.519102,924501.252564347
4595561244,110337255.940846,908260.765156022
4624184116.8,110699130.596577,924888.996206611
4717411120.8,114031363.479131,984160.926617034
4620006050.4,110707304.18607,921165.233485246
4771476547.2,116912298.793555,1025694.72503168
4786130959.2,115147931.882091,979453.852684211
4566190060.8,109668728.377184,904617.076684172
4640771664,110315258.996542,962165.135058841
4667773197.6,111733294.495653,907115.985122475
4808580271.2,115317466.681583,1011558.2968143
4801907836.8,117328799.26185,989869.912547814
4782077611.2,114725000.036024,956793.243773086
4809515659.2,114220834.88835,979275.236072084
4759441221.6,115087620.142049,933912.449326726
4692218004,114119788.878749,933377.692861274
4679933241.6,114004676.740013,954580.086813361
4433801479.2,106526931.822337,888315.602363319
4809640377.6,116468787.308732,1018969.45805497
4612834742.4,112108091.579426,1007135.21414461
4815689220,113510347.913797,1004782.07670207
4709990376,112996453.434492,957523.386969717
4598305048.8,110315136.673061,919234.807465604
4646259273.6,113337779.110776,962541.712729327
4686106802.4,114224783.501133,972512.661761826
4853229458.4,117377166.251947,989921.324763794
4575543940.8,109194184.196065,952715.096327018
4740982898.4,117352394.574405,1037695.0975337
4650250262.4,112172416.448298,1012193.90837364
4584586024.8,109858035.287342,939572.305941725
4753828893.6,114286793.863366,958703.6978645
4804028049.6,116872222.54985,1047571.56853209
4690596664.8,113352553.342401,973217.056974292
4801221885.6,113963572.947536,930702.582187229
4668272071.2,112812830.043059,968988.462767211
4578911337.6,108106973.386201,956730.213357905
4648192408.8,111804788.499704,1015200.21525012
4901994352.8,119097396.244547,1027791.9071633
4449204201.6,105639586.687319,959557.677622199
4722462216,112664594.173253,966549.601707872
4735370570.4,113894919.993005,931279.229421429
4516801574.4,109740657.969231,956570.00703522
4434362712,106927899.134444,915867.095201277
4594251700.8,110994735.30087,946704.689485928
4639898635.2,112578776.297721,965364.882212096
4818058869.6,116868151.858622,1002970.64755308
4729820601.6,113318609.707334,976952.841220108
4662659743.2,111561166.453375,971561.982415156
4529897006.4,108824764.419587,937413.193488808
4411289808,107838033.584137,906433.127505671
4681118066.4,113682731.341412,974576.021985837
4565379391.2,108961790.688596,969455.563954496
4889335435.2,118171125.335421,1046072.36517786
4733686872,114191277.918606,1000299.00795008
4553094628.8,108975671.476586,929445.153663171
4858529990.4,116461056.959962,1033849.59028175
4529211055.2,108719334.023035,971471.390937193
4903740410.4,118270236.018208,963824.88137618
4729571164.8,112328438.454462,968417.421666254
4764928831.2,116005530.452385,1006515.4240348
4608719035.2,109530724.242734,932814.099196705
4635034617.6,110776892.137459,937013.351245793
4587953421.6,110272881.415693,934275.260154174
4502209521.6,109092000.102789,926603.809345787
4764991190.4,113566721.894876,950144.76560802
4649190156,111813929.832239,984112.152442965
5029955431.2,119582598.655842,1006463.57346812
4630232959.2,111670092.120136,937805.01852728
4742978392.8,113224379.554915,956160.319919519
4733063280,113881867.696095,951598.538439138
4679933241.6,112098881.877946,965301.283771014
4681741658.4,112029114.155731,968846.84681501
4836205396.8,116161390.712199,1044243.73658077
4698266846.4,112747229.027159,948116.221907336
4723709400,113086240.668818,988419.827285205
